title,normal_price,label,image_url
Gunung Segar Jambu Merah Biji (Bgr) 1kg,Rp 21.000,produk segar,https://assets.klikindomaret.com/products/20116412/20116412_thumb.jpg
My Fruit Pear Sweet,Rp 25.000,produk segar,https://assets.klikindomaret.com/products/20097376/20097376_thumb.jpg
Apel Fuji Sun Sweet,29%,produk segar,https://assets.klikindomaret.com/products/20068532/20068532_thumb.jpg
Anggur Muscat Hijau Import,Rp 34.900,produk segar,https://assets.klikindomaret.com/products/20130892/20130892_thumb.jpg
Durianpapi Durian Musangking Malay 400g,Rp 385.000,produk segar,https://assets.klikindomaret.com/products/20104276/20104276_thumb.jpg
Durianpapi Musangking Hampers 2's,Rp 899.000,produk segar,https://assets.klikindomaret.com/products/20111550/20111550_thumb.jpg
Durianpapi Musangking Hampers 3's,Rp 1.239.000,produk segar,https://assets.klikindomaret.com/products/20111551/20111551_thumb.jpg
Gunung Segar Belimbing 1Kg,Rp 21.000,produk segar,https://assets.klikindomaret.com/products/20115099/20115099_thumb.jpg
Gunung Segar Bengkoang (Bgr) 1kg,Rp 18.900,produk segar,https://assets.klikindomaret.com/products/20116439/20116439_thumb.jpg
Gunung Segar Jeruk Bali,Rp 27.000,produk segar,https://assets.klikindomaret.com/products/20116456/20116456_thumb.jpg
Gunung Segar Jeruk Medan (Bgr) 1kg,Rp 37.000,produk segar,https://assets.klikindomaret.com/products/20116441/20116441_thumb.jpg
Gunung Segar Jeruk Siem (Bgr) 1kg,Rp 21.500,produk segar,https://assets.klikindomaret.com/products/20116442/20116442_thumb.jpg
Gunung Segar Kedondong 1Kg,Rp 32.500,produk segar,https://assets.klikindomaret.com/products/20116443/20116443_thumb.jpg
Gunung Segar Mangga Indramayu (Bgr) 1kg,Rp 22.000,produk segar,https://assets.klikindomaret.com/products/20116433/20116433_thumb.jpg
Gunung Segar Manggis Manis (Bgr) 1kg,Rp 30.000,produk segar,https://assets.klikindomaret.com/products/20116436/20116436_thumb.jpg
Gunung Segar Pisang Ambon (Bgr),Rp 39.900,produk segar,https://assets.klikindomaret.com/products/20116452/20116452_thumb.jpg
Gunung Segar Salak Pondoh (Bgr) 1kg,Rp 18.500,produk segar,https://assets.klikindomaret.com/products/20116445/20116445_thumb.jpg
Gunung Segar Semangka Kunig Tb (Bgr),Rp 45.000,produk segar,https://assets.klikindomaret.com/products/20116449/20116449_thumb.jpg
Gunung Segar Semangka Merah Oval,Rp 39.900,produk segar,https://assets.klikindomaret.com/products/20116454/20116454_thumb.jpg
Gunung Segar Sirsak (Bgr),Rp 24.000,produk segar,https://assets.klikindomaret.com/products/20116451/20116451_thumb.jpg
Jeruk Sunkist Cara-Cara,Rp 31.500,produk segar,https://assets.klikindomaret.com/promos/20241109_23_00_20241113_23_00/20130893/20130893_thumb.jpg
Melon Hydroponic (White-Honey Globe),Rp 30.300,produk segar,https://assets.klikindomaret.com/products/20048722/20048722_thumb.jpg
My Fruit Apel Granny Smith (Isi 2),Rp 17.500,produk segar,https://assets.klikindomaret.com/products/20097373/20097373_thumb.jpg?Version.20.01.1.01
My Fruit Apel Royal Gala 300g (Isi 2),Rp 17.500,produk segar,https://assets.klikindomaret.com/products/20094396/20094396_thumb.jpg
My Fruit Apel Royal Gala 3'S,Rp 24.900,produk segar,https://assets.klikindomaret.com/products/20117646/20117646_thumb.jpg?Version.20.01.1.01
My Fruit Durian Monthong Frozen 450-550g,Rp 89.000,produk segar,https://assets.klikindomaret.com/products/20117647/20117647_thumb.jpg
My Fruit Family Apel Royal Gala 800G,Rp 39.900,produk segar,https://assets.klikindomaret.com/products/20117667/20117667_thumb.jpg?Version.20.01.1.01
My Fruit Family Pear Century 800g,Rp 31.900,produk segar,https://assets.klikindomaret.com/products/20117669/20117669_thumb.jpg
My Fruit Pear Century 3's,Rp 26.500,produk segar,https://assets.klikindomaret.com/products/20109168/20109168_thumb.jpg
My Fruit Pear Singo 2's,Rp 28.200,produk segar,https://assets.klikindomaret.com/products/20109169/20109169_thumb.jpg
Nanas Madu (Non Crown) 1Pc,Rp 12.500,produk segar,https://assets.klikindomaret.com/products/20067168/20067168_thumb.jpg
Pear Buah Segar,Rp 13.500,produk segar,https://assets.klikindomaret.com/products/20070628/20070628_thumb.jpg
Pro Chiz Keju Spreadable 160G,Rp 14.000,produk segar,https://assets.klikindomaret.com/products/20055496/20055496_thumb.jpg
Ts Nanas Honi,Rp 25.000,produk segar,https://assets.klikindomaret.com/products/20113238/20113238_thumb.jpg
Ts Pear Century Fresh 1Kg,Rp 43.900,produk segar,https://assets.klikindomaret.com/products/20113176/20113176_thumb.jpg
Bengkoang 1Kg,Rp 17.500,produk segar,https://assets.klikindomaret.com/products/20108449/20108449_thumb.jpg
Cimory Yoghurt Thick & Creamy Original 40G,Rp 3.000,produk segar,https://assets.klikindomaret.com/products/20133604/20133604_thumb.jpg
Cimory Yogurt Drink Blueberry 240Ml,Rp 9.200,produk segar,https://assets.klikindomaret.com/products/20028005/20028005_thumb.jpg
Cimory Yogurt Drink Lychee 240Ml,Rp 9.200,produk segar,https://assets.klikindomaret.com/products/20030414/20030414_thumb.jpg
Cimory Yogurt Drink Mix Fruits 240Ml,Rp 9.200,produk segar,https://assets.klikindomaret.com/products/20023797/20023797_thumb.jpg
Cimory Yogurt Drink Mixed Berry 240Ml,Rp 9.200,produk segar,https://assets.klikindomaret.com/products/20052812/20052812_thumb.jpg
Cimory Yogurt Drink Strawberry 240Ml,Rp 9.200,produk segar,https://assets.klikindomaret.com/products/20015231/20015231_thumb.jpg
Jeruk Medan 1Kg,Rp 35.500,produk segar,https://assets.klikindomaret.com/products/20108451/20108451_thumb.jpg
Jeruk Siem 1Kg,Rp 21.500,produk segar,https://assets.klikindomaret.com/products/20108452/20108452_thumb.jpg
Kedondong 1Kg,Rp 32.500,produk segar,https://assets.klikindomaret.com/products/20108453/20108453_thumb.jpg
Pisang Ambon,Rp 39.900,produk segar,https://assets.klikindomaret.com/products/20108462/20108462_thumb.jpg
Salak Pondoh 1Kg,Rp 17.500,produk segar,https://assets.klikindomaret.com/products/20108455/20108455_thumb.jpg
Sirsak,Rp 23.500,produk segar,https://assets.klikindomaret.com/products/20108461/20108461_thumb.jpg
Terong Belanda 1Kg,Rp 37.500,produk segar,https://assets.klikindomaret.com/products/20108456/20108456_thumb.jpg
Tirana Strawberry Fresh,Rp 16.500,produk segar,https://assets.klikindomaret.com/products/20114056/20114056_thumb.jpg
Cimory Yoghurt Thick & Creamy Mango Sticky Rice 40G,Rp 3.000,produk segar,https://assets.klikindomaret.com/products/20134040/20134040_thumb.jpg
Cimory Yogurt Squeeze Bites Strawberry 120g,Rp 8.500,produk segar,https://assets.klikindomaret.com/products/20135254/20135254_thumb.jpg
Agung Berkah Iga Sapi 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110079/20110079_thumb.jpg
Agung Berkah Jantung Sapi 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110090/20110090_thumb.jpg
Agung Berkah Kaki Sapi 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110076/20110076_thumb.jpg
Agung Berkah Marble Slice 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110075/20110075_thumb.jpg
Agung Berkah Paru Sapi 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110087/20110087_thumb.jpg
Agung Berkah Shortplate Slice 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110074/20110074_thumb.jpg
Agung Berkah Sirloin 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110086/20110086_thumb.jpg
Agung Berkah Tenderloin 500G,30%,produk segar,https://assets.klikindomaret.com/products/20110085/20110085_thumb.jpg
Agung Berkah Tulang Sapi Sop 1000G,30%,produk segar,https://assets.klikindomaret.com/products/20110093/20110093_thumb.jpg
Zinc Shampoo Anti Ketombe Re-Freshing Cool 170Ml,40%,produk segar,https://assets.klikindomaret.com/products/20040609/20040609_thumb.jpg
Kao Attack Jaz 1 Detergenl/Detergen Cair Pesona Segar 700G,32%,produk segar,https://assets.klikindomaret.com/products/20112959/20112959_thumb.jpg
Clear Shampoo Anti Dandruff Fresh Apple 160mL,31%,produk segar,https://assets.klikindomaret.com/products/20091410/20091410_thumb.jpg
Clear Shampoo Anti Dandruff Ice Cool Menthol Fresh 160mL,31%,produk segar,https://assets.klikindomaret.com/products/20091440/20091440_thumb.jpg
Clear Shampoo Anti Ketombe Dan Rambut Rontok 160mL,31%,produk segar,https://assets.klikindomaret.com/products/20132698/20132698_thumb.jpg
Ciptadent Pasta Gigi Maxi 12 Plus Jumbo Cool Mint 225g,27%,produk segar,https://assets.klikindomaret.com/products/20127600/20127600_thumb.jpg
Ciptadent Pasta Gigi Fresh Mint 190G,25%,produk segar,https://assets.klikindomaret.com/products/10003550/10003550_thumb.jpg
Ultra Teh Kotak Lychee 300mL,24%,produk segar,https://assets.klikindomaret.com/products/20135647/20135647_thumb.jpg
Oatside Oat Milk Mocha 200mL,24%,produk segar,https://assets.klikindomaret.com/products/20134556/20134556_thumb.jpg
Pepsodent Pasta Gigi Center Fresh 160G,22%,produk segar,https://assets.klikindomaret.com/products/20017141/20017141_thumb.jpg
Groovy Soft Drink Root Brew 330mL,21%,produk segar,https://assets.klikindomaret.com/products/20135345/20135345_thumb.webp
Cimory Fresh Milk Uht Bebas Laktosa 250mL,20%,produk segar,https://assets.klikindomaret.com/products/20134390/20134390_thumb.jpg
Cimory Fresh Milk Uht Chocolate 250Ml,20%,produk segar,https://assets.klikindomaret.com/products/20099571/20099571_thumb.jpg
Mama Lemon Cairan Pencuci Piring Ekstra Clean Yuzu + Jeruk Nipis 680mL,20%,produk segar,https://assets.klikindomaret.com/products/20134303/20134303_thumb.webp
Charm Pembalut Cooling Fresh 15'S Wing 23Cm,19%,produk segar,https://assets.klikindomaret.com/products/20091792/20091792_thumb.jpg
Charm Pembalut Cooling Fresh 17'S Non Wing 23Cm,19%,produk segar,https://assets.klikindomaret.com/products/20091786/20091786_thumb.jpg
Fres & Natural Eau De Toilette Ocean Secret 100mL,16%,produk segar,https://assets.klikindomaret.com/products/20135858/20135858_thumb.webp
Fres & Natural Eau De Toilette Song Of Spring 100mL,16%,produk segar,https://assets.klikindomaret.com/products/20135857/20135857_thumb.webp
Kao Attack Detergent Powder Jaz 1 Pesona Segar 1.6Kg,15%,produk segar,https://assets.klikindomaret.com/products/20064414/20064414_thumb.jpg
Greenfields Uht Milk Chocolate 250mL,13%,produk segar,https://assets.klikindomaret.com/products/20130186/20130186_thumb.jpg
Greenfields Uht Milk Full Cream 250Ml,13%,produk segar,https://assets.klikindomaret.com/products/20087413/20087413_thumb.jpg
Greenfields Uht Milk Strawberry 250Ml,13%,produk segar,https://assets.klikindomaret.com/products/20118209/20118209_thumb.jpg
Daia Detergent Bubuk Fresh Lemon 1.6Kg,12%,produk segar,https://assets.klikindomaret.com/products/10025482/10025482_thumb.jpg
Scarlett Eau De Parfume Wonderland 30mL,9%,produk segar,https://assets.klikindomaret.com/products/20135138/20135138_thumb.jpg
Arla Susu Cair Uht Organic Full Cream 200mL,Rp 11.500,produk segar,https://assets.klikindomaret.com/products/20131017/20131017_thumb.jpg
Cimory Fresh Milk Uht Strawberry 250Ml,Rp 7.500,produk segar,https://assets.klikindomaret.com/products/20099572/20099572_thumb.jpg
Clear Shampoo Anti Dandruff Menthol Segar 400mL,Rp 67.600,produk segar,https://assets.klikindomaret.com/products/20120424/20120424_thumb.jpg
Clear Shampoo Anti Dandruff Menthol Segar 70mL,Rp 15.200,produk segar,https://assets.klikindomaret.com/products/20091437/20091437_thumb.jpg
Close Up Pasta Gigi Deep Action Menthol Fresh 110g,Rp 17.300,produk segar,https://assets.klikindomaret.com/products/10037208/10037208_thumb.jpg
Close Up Pasta Gigi Gel Green Ever Fresh 160G,Rp 22.300,produk segar,https://assets.klikindomaret.com/products/10003569/10003569_thumb.jpg
Close Up Pasta Gigi Gel Green Menthol Fresh 65g,Rp 8.200,produk segar,https://assets.klikindomaret.com/products/10000451/10000451_thumb.jpg
Enzim Pasta Gigi Fresh Mint 124G,Rp 30.100,produk segar,https://assets.klikindomaret.com/products/10003163/10003163_thumb.jpg
Frisian Flag Susu Cair Uht Low Fat 946Ml,Rp 21.000,produk segar,https://assets.klikindomaret.com/products/20014070/20014070_thumb.jpg
Greenfields Uht Milk Extra Choco Malt 200mL,Rp 7.600,produk segar,https://assets.klikindomaret.com/products/20130183/20130183_thumb.jpg
Greenfields Uht Milk Extra Strawberry 200mL,Rp 7.600,produk segar,https://assets.klikindomaret.com/products/20130184/20130184_thumb.jpg
Greenfields Uht Milk Full Cream 105mL,Rp 3.400,produk segar,https://assets.klikindomaret.com/products/20087410/20087410_thumb.jpg
Hydro Plus Isotonic Drink 350mL,Rp 5.800,produk segar,https://assets.klikindomaret.com/products/20135311/20135311_thumb.jpg
Indomilk Susu Cair Uht Chocolate 950Ml,Rp 19.000,produk segar,https://assets.klikindomaret.com/products/10004884/10004884_thumb.jpg
Jele Minuman Fresshy Blueberry 125G,Rp 7.600,produk segar,https://assets.klikindomaret.com/products/20136251/20136251_thumb.webp
Kao Attack Deterjen Powder Jaz 1 Pesona Segar 800G,Rp 18.700,produk segar,https://assets.klikindomaret.com/products/20053058/20053058_thumb.jpg
"Nivea Deo Roll On Men Deep Espresso 50mL - Kulit Ketiak Kering, Wangi & Segar Seharian",Rp 23.500,produk segar,https://assets.klikindomaret.com/products/20134496/20134496_thumb.webp
Oatside Oat Milk Barista Blend 1L,Rp 48.000,produk segar,https://assets.klikindomaret.com/products/20122061/20122061_thumb.jpg
Oatside Oat Milk Caramel Macchiato 200mL,Rp 9.900,produk segar,https://assets.klikindomaret.com/products/20134557/20134557_thumb.jpg
Oatside Oat Milk Chocolate 1L,Rp 45.000,produk segar,https://assets.klikindomaret.com/products/20122883/20122883_thumb.jpg
Pepsodent Pasta Gigi Fresh Cool Mint 190G,Rp 17.500,produk segar,https://assets.klikindomaret.com/products/20040702/20040702_thumb.jpg
Pro Chiz Keju Gold 160G,Rp 15.700,produk segar,https://assets.klikindomaret.com/products/20058306/20058306_thumb.jpg
Pro Chiz Keju Gold Cheddar 60G,Rp 5.800,produk segar,https://assets.klikindomaret.com/products/20118903/20118903_thumb.webp
